S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06
2.0,SUKHPAL SINGH KHAIRA,Indian National Congress,190209,1316,191525,18.97
3.0,SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),186543,703,187246,18.55
4.0,ARVIND KHANNA,Bharatiya Janata Party,127781,472,128253,12.7
5.0,IQBAL SINGH JHUNDAN,Shiromani Akali Dal,62265,223,62488,6.19
6.0,MAKHAN SINGH,Bahujan Samaj Party,37604,127,37731,3.74
7.0,PARDEEP KUMAR,Apni Ekta Party,5131,8,5139,0.51
8.0,HARBHAJAN SINGH,Aazad Samaj Party (Kanshi Ram),3417,14,3431,0.34
9.0,SUKHWINDER SINGH,Independent,3225,0,3225,0.32
10.0,BALWINDER SINGH SEKHON,Independent,2562,10,2572,0.25
11.0,BALWINDER SINGH,Independent,2284,4,2288,0.23
12.0,JASWANT SINGH,Independent,2222,2,2224,0.22
13.0,PAPPU KUMAR,Independent,1826,1,1827,0.18
14.0,KRISHAN DEV,Punjab National Party,1803,12,1815,0.18
15.0,AMANPREET SINGH,Independent,1686,7,1693,0.17
16.0,RANGI KHAN,Aam Janta Party (India),1578,3,1581,0.16
17.0,JILE SINGH,Bhartiya Jan Samman Party,1546,2,1548,0.15
18.0,KAMAL KUMAR VERMA (BHASAUR),"Adarsh Janta Party,",1376,0,1376,0.14
19.0,CHANNVEER SINGH,Independent,1281,2,1283,0.13
20.0,JAGTAR SINGH,Nationalist Justice Party,1224,1,1225,0.12
21.0,VIJAY SYAL,Independent,1144,1,1145,0.11
22.0,HARPREET KAUR,India Greens Party,1095,10,1105,0.11
23.0,RAJA SINGH,Independent,1037,3,1040,0.1
24.0,NOTA,None of the Above,3773,47,3820,0.38
