S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54.0
2.0,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,559318,5176,564494,40.84
3.0,KAVURI LAVANYA,Indian National Congress,19820,1006,20826,1.51
4.0,AJAY BABU BODA,Navarang Congress Party,12197,13,12210,0.88
5.0,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6664,68,6732,0.49
6.0,BOKINALA KOTESWARA RAO,Independent,2253,10,2263,0.16
7.0,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1523,3,1526,0.11
8.0,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1172,8,1180,0.09
9.0,AGASTEEN KOMMINA,Independent,1001,3,1004,0.07
10.0,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,777,9,786,0.06
11.0,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,729,3,732,0.05
12.0,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,710,5,715,0.05
13.0,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,705,10,715,0.05
14.0,NOTA,None of the Above,22371,144,22515,1.63
1.0,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22
2.0,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,38.21
3.0,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2.43
4.0,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,0.85
5.0,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911,117,10028,0.76
6.0,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245,9,5254,0.4
7.0,VALLABHANENI NAGA PAVAN KUMAR,Independent,5206,14,5220,0.4
8.0,MARADANI K R SWAMY,Jai Maha Bharath Party,2206,8,2214,0.17
9.0,GANDHI  DHANEKULA,Independent,1989,2,1991,0.15
10.0,PAMULA BALA SOWRYAMMA,Independent,1576,6,1582,0.12
11.0,ANUSHA YERUVA,Independent,1233,2,1235,0.09
12.0,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102,9,1111,0.08
13.0,JOGI VEERANJANEYULU,Independent,1020,2,1022,0.08
14.0,DAMODARA RAO GUDAVALLI,Independent,928,2,930,0.07
15.0,APPARAO ENNETI,Independent,625,1,626,0.05
16.0,NOTA,None of the Above,12008,118,12126,0.92
1.0,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21
2.0,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,505637,6432,512069,37.53
3.0,BHARGAV VALLURU,Indian National Congress,23498,608,24106,1.77
4.0,KRISHNA KISHORE YANAMANDRA,Navataram Party,7710,168,7878,0.58
5.0,VENKATA ASHOK PAPPURI,Independent,6672,0,6672,0.49
6.0,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199,0,3199,0.23
7.0,MEKA VENKATESWARA RAO,Bahujan Samaj Party,2184,49,2233,0.16
8.0,ANIL KUMAR MADDINENI,Independent,1240,0,1240,0.09
9.0,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,609,6,615,0.05
10.0,SYED KHAMURUNNISA,Navarang Congress Party,600,1,601,0.04
11.0,CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,486,3,489,0.04
12.0,DATLA LURTHU MERI,Jaibhim Rao Bharat Party,409,8,417,0.03
13.0,PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),365,3,368,0.03
14.0,DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,328,3,331,0.02
15.0,GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),323,4,327,0.02
16.0,N DASARADHA RAMI REDDY,All India Jaihind Party,268,1,269,0.02
17.0,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239,5,244,0.02
18.0,NOTA,None of the Above,9038,155,9193,0.67
1.0,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68
2.0,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5
3.0,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61
4.0,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39
5.0,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3
6.0,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14
7.0,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12
8.0,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09
9.0,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09
10.0,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07
11.0,PILLI BABU RAO,Independent,688,4,692,0.05
12.0,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,540,2,542,0.04
13.0,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,0,461,0.03
14.0,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03
15.0,SHAIK. KHAJAVALI,Independent,387,4,391,0.03
16.0,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03
17.0,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03
18.0,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03
19.0,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03
20.0,ASHOK ANAND GALI,Independent,335,0,335,0.02
21.0,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02
22.0,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02
23.0,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02
24.0,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02
25.0,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02
26.0,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0,268,0.02
27.0,SIVA PARVATHI,Independent,262,4,266,0.02
28.0,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01
29.0,SRIKRISHNA AKKISETTI,Independent,179,0,179,0.01
30.0,MADAVARAPU NAGA RAJU,Independent,172,0,172,0.01
31.0,NOTA,None of the Above,7210,177,7387,0.52
1.0,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88
2.0,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,43.23
3.0,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,1.2
4.0,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,0.35
5.0,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328,8,2336,0.16
6.0,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243,2,1245,0.08
7.0,YAMPATI VEERANJANEYA REDDY,Independent,1056,1,1057,0.07
8.0,SUBBARAO CHALLA,Independent,1051,0,1051,0.07
9.0,ABDUL RAJAK SHAIK,Independent,718,5,723,0.05
10.0,KOTA POTHURAJU,Pyramid Party of India,667,3,670,0.04
11.0,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385,3,388,0.03
12.0,PASUPULETI PICHAIAH,National Nava Kranthi Party,353,3,356,0.02
13.0,PAPPULA SAMBASIVA RAO,Navarang Congress Party,331,1,332,0.02
14.0,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305,4,309,0.02
15.0,THOKALA NAGA RAJU,All India Forward Bloc,277,8,285,0.02
