Party,Party Abbreviation,Won,Leading,Total
Bharatiya Janata Party - BJP,BJP,240,0,240
Indian National Congress - INC,INC,99,0,99
Samajwadi Party - SP,SP,37,0,37
All India Trinamool Congress - AITC,AITC,29,0,29
Dravida Munnetra Kazhagam - DMK,DMK,22,0,22
Telugu Desam - TDP,TDP,16,0,16
Janata Dal  (United) - JD(U),JD(U),12,0,12
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,SHSUBT,9,0,9
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,NCPSP,8,0,8
Shiv Sena - SHS,SHS,7,0,7
Lok Janshakti Party(Ram Vilas) - LJPRV,LJPRV,5,0,5
Yuvajana Sramika Rythu Congress Party - YSRCP,YSRCP,4,0,4
Rashtriya Janata Dal - RJD,RJD,4,0,4
Communist Party of India  (Marxist) - CPI(M),CPI(M),4,0,4
Indian Union Muslim League - IUML,IUML,3,0,3
Aam Aadmi Party - AAAP,AAAP,3,0,3
Jharkhand Mukti Morcha - JMM,JMM,3,0,3
Janasena Party - JnP,JnP,2,0,2
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),CPI(ML)(L),2,0,2
Janata Dal  (Secular) - JD(S),JD(S),2,0,2
Viduthalai Chiruthaigal Katchi - VCK,VCK,2,0,2
Communist Party of India - CPI,CPI,2,0,2
Rashtriya Lok Dal - RLD,RLD,2,0,2
Jammu & Kashmir National Conference - JKN,JKN,2,0,2
"United People’s Party, Liberal - UPPL",UPPL,1,0,1
Asom Gana Parishad - AGP,AGP,1,0,1
Hindustani Awam Morcha (Secular) - HAMS,HAMS,1,0,1
Kerala Congress - KEC,KEC,1,0,1
Revolutionary Socialist Party - RSP,RSP,1,0,1
Nationalist Congress Party - NCP,NCP,1,0,1
Voice of the People Party - VOTPP,VOTPP,1,0,1
Zoram People’s Movement - ZPM,ZPM,1,0,1
Shiromani Akali Dal - SAD,SAD,1,0,1
Rashtriya Loktantrik Party - RLTP,RLTP,1,0,1
Bharat Adivasi Party - BHRTADVSIP,BHRTADVSIP,1,0,1
Sikkim Krantikari Morcha - SKM,SKM,1,0,1
Marumalarchi Dravida Munnetra Kazhagam - MDMK,MDMK,1,0,1
Aazad Samaj Party (Kanshi Ram) - ASPKR,ASPKR,1,0,1
Apna Dal (Soneylal) - ADAL,ADAL,1,0,1
AJSU Party - AJSUP,AJSUP,1,0,1
All India Majlis-E-Ittehadul Muslimeen - AIMIM,AIMIM,1,0,1
Independent - IND,IND,7,0,7
